Filename,Nodes,Width,Height,Functions,Max Function,Total,CPU Setup,GPU Total,GPU Upload,GPU Upload Create,Preprocessing,Instruction Count,Instruction Gen,Optimize,Regalloc,Jump Fix,Postprocess
./basic/6.in/2.out,2550855,541224,19,8387,1295,5743850,2930728,421800,11372,272,1559,596,12257,9386,384696,1809,114
./basic/6.in/3.out,2550855,541224,19,8387,1295,5754529,2945198,429634,11306,268,1557,595,12275,9401,392567,1807,114
./basic/6.in/4.out,2550855,541224,19,8387,1295,5758425,2952320,428129,11280,278,1558,599,12276,9392,391084,1815,114
./basic/6.in/5.out,2550855,541224,19,8387,1295,5731683,2921362,425833,11143,265,1559,587,12252,9413,388953,1801,113
./basic/6.in/6.out,2550855,541224,19,8387,1295,5837791,2945528,431084,14170,271,1561,597,12307,9409,391103,1807,115
./basic/6.in/7.out,2550855,541224,19,8387,1295,5753738,2931127,427483,12236,332,2004,636,13519,9492,387658,1810,115
./basic/6.in/8.out,2550855,541224,19,8387,1295,5699062,2897957,424271,11244,274,1556,591,12262,9394,387284,1814,114
./basic/6.in/9.out,2550855,541224,19,8387,1295,5725849,2937270,421313,11273,271,1544,587,12244,9402,384336,1800,114
./basic/6.in/10.out,2550855,541224,19,8387,1295,5751651,2946642,431272,11346,271,1573,592,12243,9398,394181,1812,114
./basic/6.in/11.out,2550855,541224,19,8387,1295,5751819,2923357,426489,11302,266,1548,597,12242,9397,389462,1814,115
./basic/6.in/12.out,2550855,541224,19,8387,1295,5743342,2938206,422837,11288,267,1542,592,12259,9414,385812,1803,114
./basic/6.in/13.out,2550855,541224,19,8387,1295,5751135,2940859,427953,11329,274,1557,593,12270,9399,390858,1820,114
./basic/6.in/14.out,2550855,541224,19,8387,1295,5711885,2927009,429962,11211,267,1554,595,12256,9406,393009,1803,116
./basic/6.in/15.out,2550855,541224,19,8387,1295,5777326,2946329,426153,11343,278,1556,606,12273,9406,389031,1812,115
./basic/6.in/16.out,2550855,541224,19,8387,1295,5727886,2934884,424212,11224,269,1560,595,12274,9391,387229,1811,116
./basic/6.in/17.out,2550855,541224,19,8387,1295,5810852,2996966,428083,11337,278,1583,592,12234,9411,390990,1809,115
./basic/6.in/18.out,2550855,541224,19,8387,1295,5793836,2970409,423553,11215,267,1565,588,12252,9406,386594,1807,115
./basic/6.in/19.out,2550855,541224,19,8387,1295,5774942,2947013,429897,11289,278,1546,589,12257,9405,392871,1813,115
./basic/6.in/20.out,2550855,541224,19,8387,1295,5743561,2948706,428636,11276,271,1558,596,12233,9432,391601,1813,116
./basic/6.in/21.out,2550855,541224,19,8387,1295,5757912,2949734,426946,12285,340,2025,637,13532,9506,387023,1809,114
./basic/6.in/22.out,2550855,541224,19,8387,1295,5744066,2945817,424651,11327,272,1584,599,12275,9432,387494,1813,114
./basic/6.in/23.out,2550855,541224,19,8387,1295,5755275,2953146,428462,11234,272,1559,590,12272,9410,391464,1805,113
./basic/6.in/24.out,2550855,541224,19,8387,1295,5758434,2951382,426059,11330,274,1553,591,12260,9401,388979,1818,114
./basic/6.in/25.out,2550855,541224,19,8387,1295,5745044,2937342,422204,11219,269,1553,595,12266,9406,385221,1818,114
./basic/6.in/26.out,2550855,541224,19,8387,1295,5762897,2939598,429708,11288,269,1569,584,12274,9406,392655,1803,115
./basic/6.in/27.out,2550855,541224,19,8387,1295,5691202,2915998,427970,11197,268,1546,591,12254,9406,391038,1811,115
./basic/6.in/28.out,2550855,541224,19,8387,1295,5746138,2931554,426430,11396,267,1566,592,12276,9405,389261,1806,115
./basic/6.in/29.out,2550855,541224,19,8387,1295,5685329,2879980,425738,11327,273,1556,587,12252,9407,388677,1804,114
./basic/6.in/30.out,2550855,541224,19,8387,1295,5678592,2884376,427955,11622,284,1578,594,12286,9390,390551,1805,114
./basic/7.in/0.out,12301146,2619673,19,40112,1296,20049680,15448548,1391401,47440,492,2690,1998,44884,47260,1238593,8030,492
./basic/7.in/1.out,12301146,2619673,19,40112,1296,20179451,15549517,1392464,47936,492,2708,1998,44921,47273,1239089,8033,494
./basic/7.in/2.out,12301146,2619673,19,40112,1296,21679941,16942508,1433788,85784,597,2732,2003,44989,47273,1242466,8035,492
./basic/7.in/3.out,12301146,2619673,19,40112,1296,20237128,15598474,1391581,47624,474,2707,1999,44897,47249,1238590,8009,493
./basic/7.in/4.out,12301146,2619673,19,40112,1296,20446194,15804045,1393941,49762,474,2809,1994,44887,47288,1238691,8003,493
./basic/7.in/5.out,12301146,2619673,19,40112,1296,20195934,15564529,1391991,47747,475,2691,1991,44912,47265,1238864,8015,492
./basic/7.in/6.out,12301146,2619673,19,40112,1296,20154316,15533243,1406566,47297,487,2701,1991,60313,47267,1238480,8011,493
./basic/7.in/7.out,12301146,2619673,19,40112,1296,20187831,15574217,1392754,47793,474,2707,1987,44879,47290,1239594,7999,493
./basic/7.in/8.out,12301146,2619673,19,40112,1296,20161569,15540669,1390464,47956,486,2695,2006,44825,47269,1237198,8010,493
./basic/7.in/9.out,12301146,2619673,19,40112,1296,20060323,15457787,1391411,47896,490,2711,2000,44863,47254,1238145,8036,493
./basic/7.in/10.out,12301146,2619673,19,40112,1296,20182222,15541237,1394961,47900,471,2692,1989,44889,47228,1241732,8024,494
./basic/7.in/11.out,12301146,2619673,19,40112,1296,20056972,15465477,1392031,47347,487,2691,1997,44876,47235,1239359,8021,493
./basic/7.in/12.out,12301146,2619673,19,40112,1296,20145146,15527779,1392345,48030,478,2703,1998,44906,47306,1238869,8027,493
./basic/7.in/13.out,12301146,2619673,19,40112,1296,20139296,15505550,1413192,48653,1601,6730,17741,45995,47275,1238268,8022,492
./basic/7.in/14.out,12301146,2619673,19,40112,1296,20172522,15550270,1390887,47777,486,2678,2001,44863,47256,1237784,8023,493
./basic/7.in/15.out,12301146,2619673,19,40112,1296,20194654,15518227,1392839,47868,496,2749,1993,44944,47304,1239437,8036,494
./basic/7.in/16.out,12301146,2619673,19,40112,1296,20170557,15483248,1389917,47319,477,2709,2002,44911,47235,1237248,7987,493
./basic/7.in/17.out,12301146,2619673,19,40112,1296,20122283,15494369,1395835,48107,475,2705,1993,44896,47246,1242357,8026,492
./basic/7.in/18.out,12301146,2619673,19,40112,1296,20057624,15435933,1391586,47322,470,2701,1995,44901,47250,1238898,8013,493
./basic/7.in/19.out,12301146,2619673,19,40112,1296,20147860,15523535,1391981,47790,489,2698,1999,44871,47272,1238826,8019,493
./basic/7.in/20.out,12301146,2619673,19,40112,1296,20108952,15466136,1397893,51764,564,3351,2066,45697,47251,1239225,8032,492
./basic/7.in/21.out,12301146,2619673,19,40112,1296,20034865,15431422,1391719,47398,480,2700,2003,44853,47236,1239005,8019,492
./basic/7.in/22.out,12301146,2619673,19,40112,1296,20036014,15418518,1391778,47361,472,2704,1995,44905,47254,1239027,8026,493
./basic/7.in/23.out,12301146,2619673,19,40112,1296,20031379,15432034,1390386,47442,473,2708,1985,44872,47248,1237599,8028,492
./basic/7.in/24.out,12301146,2619673,19,40112,1296,20051490,15442292,1396842,51354,572,3355,2062,45713,47271,1238567,8015,492
./basic/7.in/25.out,12301146,2619673,19,40112,1296,20026600,15422835,1391704,47407,478,2700,1990,44869,47258,1238960,8015,492
./basic/7.in/26.out,12301146,2619673,19,40112,1296,20115270,15504780,1391173,47880,478,2704,1992,44895,47247,1237923,8027,493
./basic/7.in/27.out,12301146,2619673,19,40112,1296,20079416,15457609,1401478,47193,482,2693,1995,44942,47275,1248847,8028,492
./basic/7.in/28.out,12301146,2619673,19,40112,1296,20077045,15488259,1394522,47879,482,2684,1998,44918,47251,1241261,8022,493
./basic/7.in/29.out,12301146,2619673,19,40112,1296,20227052,15632265,1392152,47749,480,2714,1986,44909,47245,1239016,8027,492
./basic/7.in/30.out,12301146,2619673,19,40112,1296,20146337,15545686,1394279,47911,488,2692,1992,44882,47280,1240996,8021,492
./funclen/1.in/0.out,307141,77058,9,25118,53,2614264,344158,48335,3254,235,1286,295,3390,836,37905,1324,33
./funclen/1.in/1.out,307141,77058,9,25118,53,2583098,323302,48355,3277,237,1289,301,3406,835,37872,1329,34
./funclen/1.in/2.out,307141,77058,9,25118,53,2622372,325980,48340,3285,238,1289,303,3393,832,37863,1328,34
./funclen/1.in/3.out,307141,77058,9,25118,53,2611183,340334,47348,3287,247,1288,298,3389,846,36864,1332,34
./funclen/1.in/4.out,307141,77058,9,25118,53,2595133,321319,47360,3279,240,1291,296,3389,846,36866,1346,34
./funclen/1.in/5.out,307141,77058,9,25118,53,2615844,324537,47376,3291,237,1293,307,3395,853,36854,1339,33
./funclen/1.in/6.out,307141,77058,9,25118,53,2601323,332794,47338,3244,233,1298,300,3385,831,36905,1329,34
./funclen/1.in/7.out,307141,77058,9,25118,53,2597599,324763,48436,3295,251,1305,300,3413,848,37888,1342,33
./funclen/1.in/8.out,307141,77058,9,25118,53,2606588,326212,47404,3267,234,1292,305,3441,846,36884,1323,34
./funclen/1.in/9.out,307141,77058,9,25118,53,2618265,322992,48404,3310,235,1291,304,3394,850,37878,1332,34
./funclen/1.in/10.out,307141,77058,9,25118,53,2597994,323544,48408,3278,237,1301,299,3412,866,37880,1325,34
./funclen/1.in/11.out,307141,77058,9,25118,53,2592095,323506,48368,3284,238,1288,301,3407,834,37870,1339,33
./funclen/1.in/12.out,307141,77058,9,25118,53,2573302,295927,48363,3252,235,1298,302,3393,838,37899,1335,34
./funclen/1.in/13.out,307141,77058,9,25118,53,2592574,321552,48400,3252,236,1300,301,3385,835,37951,1327,35
./funclen/1.in/14.out,307141,77058,9,25118,53,2602360,326516,47367,3237,238,1308,302,3404,837,36900,1332,34
./funclen/1.in/15.out,307141,77058,9,25118,53,2568125,297386,47431,3272,248,1300,304,3422,845,36906,1337,34
./funclen/1.in/16.out,307141,77058,9,25118,53,2619017,341069,47374,3260,239,1300,299,3411,853,36882,1323,33
./funclen/1.in/17.out,307141,77058,9,25118,53,2562468,295021,47629,3328,243,1351,309,3493,835,36929,1336,34
./funclen/1.in/18.out,307141,77058,9,25118,53,2566093,295110,47368,3270,241,1295,297,3399,849,36883,1330,33
